;shortname;fullname;category
117;EEEFMPRESIDENTELUEBKE_2ªN01--EJA-EM-AAD_2ª ETAPA_PIPAT_INEP32058918_4615_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
118;EEEFMPRESIDENTELUEBKE_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32058918_6218_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
119;EEEFMPRESIDENTELUEBKE_3ªN01--EJA-EM-AAD_3ª ETAPA_PIPAT_INEP32058918_5034_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
120;CEEFMTINAIRMIRANDA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32020910_2742_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
121;CEEFMTINAIRMIRANDA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32020910_3305_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
122;CEEFMTINAIRMIRANDA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32020910_3852_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
123;CEEFMTINAIRMIRANDA_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32020910_914_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
124;CEEFMTINAIRMIRANDA_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32020910_1530_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
125;EEEFMPROFESSORAMARIADAPAZPIMENTEL_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32061943_1361_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
126;EEEFMFREDERICOPRETTI_1ªN02-EM_EO_INEP32033478_6447_2024;ESTUDO ORIENTADO;6622
127;EEEFMFREDERICOPRETTI_1ªN02-EM_PROINPAC_INEP32033478_6447_2024;;6622
128;EEEFMFREDERICOPRETTI_1ªN02-EM_PV_INEP32033478_6447_2024;PROJETO DE VIDA;6622
129;EEEFMFREDERICOPRETTI_2ªN01-EM-HUM_PROINPAC_INEP32033478_2933_2024;;6622
130;EEEFMFREDERICOPRETTI_2ªN02-EM-HUM_PROINPAC_INEP32033478_6577_2024;;6622
131;EEEFMFREDERICOPRETTI_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32033478_6771_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
132;EEEFMFREDERICOPRETTI_3ªN01-EM-HUM_PROINPAC_INEP32033478_4018_2024;;6622
133;EEEFMFREDERICOPRETTI_3ªN02-EM_PROINPAC_INEP32033478_6660_2024;;6622
